"location","company_name","job_title","job_description"
"Paal","Aspel Group","Project Manager","Region

Based at HQ, Belgium, Paal-Beringen

Your responsibilities

Responsible for planning, execution and follow-up of Projects (new tools, modifications of existing tools or transfer of external tools) according to the ASPEL Program & Engineering Roadmap and the ASPEL Management system, Environmental, Health & Safety rules and standards.

Define and lead the Project Team to manage the development of the new project. Continuously coordinate the different parties involved regarding the different tasks, timing and project follow-up, including the project budget, until the release of the project is done and taken as accepted by the receiving Production site.

Review the result (lead time, budget, quality) at the end of the projects with the Account Business Manager and the RFQ manager."
"Wielsbeke","Unilin","Project Manager Infrastructure","Unilin Group is a global reference for interior design and building. We engineer, manufacture and market laminate flooring, luxury vinyl tiles, sheet vinyl, engineered parquet, carpet tiles, broadloom carpet, raw and decorative panels, industrial floors, wall and roof systems and insulation boards. We employ 7.500 people at 105 locations all over the globe, 30 of which are production sites. Together we achieved a turnover of € 2.21 billion in 2020.

Our customers and partners know us as Unilin, IVC or Godfrey Hirst, or through one of our brands such as Quick-Step, Moduleo, Utherm, Pergo, Evola, Xtratherm or ClicWall. Investing in our passionate people, innovative brands and sustainable technology comes natural to us.

Unilin Group is proudly part of Mohawk Industries, the world's largest flooring company with a turnover of $ 10 billion and 41.600 employees.
Unilin Group has a large IS ( Information services )team of more than 130 internal employees. Focus on Innovation is one of our core values, and this is highly visible throughout all our IS realizations.
To support the further growth of our IS Infrastructure department, we are recruiting a Project manager Infrastructure. Highly challenging projects are foreseen ( support with new acquisitions, move of production lines, …)

Next to our 1st , 2nd and 3rd line support, we have several specialized teams who focus on Network, cybersecurity, Server and System Management. As project Manager your main responsibilities will be:
Defining project goals and determine resources and skill sets required for the project team.
Understanding and building of a detailed project plan with milestones to understand project delivery in time, budget and quality.
Understanding industry best practices for project management and for visualization of plans.
Managing internal and external/client project reporting and documentation.
Managing project budget scope
monitoring of activity progress against planning.
Maintaining effective communication and keeping clients and internal stakeholders up to date.
Applying project management principles and methodologies in seeking accordable solutions to project problems
In all of this you will be supported by a Senior Project manager who will be your first point of contact.
PROFILE
You have at least 5-10 years of experience in a specialized infrastructure role within a production environment.
Experience as Project manager is considered as a plus but not a must. A basic knowledge of project management principles, methods and techniques is required.
Experience in the following infrastructure domains is considered a big asset :
A strong knowledge of wired and wireless networking: install, config and troubleshooting.
Strong knowledge of L2 and L3 switching: Cisco Catalyst series
Firewall principles
Networking technologies (TCP/IP, DNS, DHCP)
WAN/LAN Design
Server and storage infrastructure and related software components
Active Directory
You are hands on and not doing project management from your desk. You are open to go out in the field, install/config/troubleshoot and connect with your stakeholders.
Offer
Unilin Group is a fast-growing, profitable and bustling group that is active internationally. Innovation is our driving force. Investing in people, technology and sustainable entrepreneurship is characteristic of our culture.

Unilin Group thrives thanks to a team of colleagues that pride themselves on professionalism and entrepreneurship.
In exchange for your expertise, creativity and dynamism, Unilin Group offers an attractive salary supplemented with fringe benefits, career opportunities, challenges abroad and a wide range of training options."
"Leuven","Medpace, Inc.","eClinical Project Manager","Job Summary :

Our corporate activities are growing rapidly, and we are currently seeking a full-time, office-based eClinical Project Manager to join our Data Management team. We have openings in both our Cincinnati, OH and Denver, CO locations. This role will work with both local and international teams and will manage global studies. If you want an exciting career where you use your previous expertise and can develop and grow your career even further, then this is the opportunity for you.
Responsibilities :
Manage multiple projects from am eClinincal/eCOA perspective;
Develop and review study documentation related to eClinical/eCOA activities for clinical trials with sponsor companies and other departments;
Coordinate overall eClinical activities by serving as primary contact for the sponsor;
Monitor study timelines in relation to clinical trial needs;
Attend face to face sponsor meetings and investigator meetings.
Qualifications :
Bachelor’s degree/Master and prior eClinical experience; including setting up and managing multiple eClinical/eCOA projects and acting as the main point of contact for the sponsor;
General knowledge of technology trends and system / application development;
Possess excellent organizational, prioritization, and time management skills;
A basic knowledge of medical terminology is needed, as well as knowledge of a scientific investigative methodologies and clinical research methodologies.
Medpace Overview :

Medpace is a full-service clinical contract research organization (CRO). We provide Phase I-IV clinical development services to the biotechnology, pharmaceutical and medical device industries. Our mission is to accelerate the global development of safe and effective medical therapeutics through its scientific and disciplined approach. We leverage local regulatory and therapeutic expertise across all major areas including oncology, cardiology, metabolic disease, endocrinology, central nervous system, anti-viral and anti-infective. Headquartered in Cincinnati, Ohio, employing more than 4,000 people across almost 40 countries.
Why Medpace? :

When you join Medpace, you become part of a team dedicated to supporting the development of ground-breaking drugs and devices. Our employees provide hope for those living with debilitating diseases. We invite you to be a part of something that is impacting millions of people around the globe while enjoying a competitive total compensation and benefits package and internal growth opportunities.
Awards:
Medpace historically named a Top Cincinnati Workplace by the Cincinnati Enquirer
Recognized by Forbes as one of America's Best Mid-size Companies in 2021
Medpace ranks amongst top CROs for site ratings across all 10 important attributes including CRA training, preparation & organization, accessibility of staff, open communication, and ensuring timely drug availability
Continually recognized with CRO Leadership Awards from Life Science Leader magazine based on expertise, quality, capabilities, reliability, and compatibility
What to Expect Next:
A member of our recruitment team will review your qualifications and, if interested, you will be contacted for an interview.
EO/AA Employer M/F/Disability/Vets
WARNING: Please beware of phishing scams that offer opportunities with Medpace in exchange for sending money. These scammers pose as legitimate employees from actual companies. Please be advised that a Medpace employee will never ask you for a credit card, send you a check, or ask you for any type of payment as part of consideration for a role with our company. All of our careers require that you first complete an online application and go through some sort of interview process."
"Waver","Darwind","Junior Project Manager","You do not always recognize yourself in the model of classical consultancy and would like to be part of an organization who walks the talk.

You think that learning is for every age, you like exchanging with others and would like to evolve.

You are proactive, like transformation and enjoy facing new challenges.

You are caring, helpful and like to do things hands-on and enjoy building with all the team.

So Darwind is for you

 But Who is Darwind?

Darwin is a famous man for his evolution theory. (Yes, I know ).

Darwind goes a dimension further. We suggest going beyond evolution and become resilient.

Darwind was born from the observation that the current model of consulting firms did not allow to get a Win for the 3 parties engaged in: the consultant, the client and the company.

In order to correct this, we suggest going back to basics: the motivation/ the pleasure of coming to work of the consultant as the first factor of success for everyone.

For this, we work as:
We help you to define your career project and we base on to find matching missions with a challenge part
Each person follows his own training path, can develop one's own approach and give trainings
We work in a flat structure, everyone takes initiatives and build the company
Each of us is a builder and an actor of the work environment: we value feedback, communication, transparency, collective intelligence, and caring attitude.
Junior Project Manager

You oversee all aspects of projects in order to complete them on time within budget and within scope. You deliver with the guidance of a manager or autonomously.

Responsibilities:
support to the definition of project scope and objectives; setting up of the planning, deadlines & assigning responsibilities
ensuring resource availability and allocations
monitoring progress and respect for scope - budget- timing and quality
Keeping an eye to compatibility with other projects, involving all relevant stakeholders
reporting for upper management regarding status of project
Top Qualities:
Solid organizational skills & Multitasking
Communication & Progress Tracking
Team Supervision & Delegation
A solid understanding of IT
trilingual NL-ENG-FR (mandatory)
experience in consulting is a plus
Practically:
A full-time job as employee (so not freelancer) with motivating missions
An attractive salary package (group insurance, lunch allowance, company car, fuel card…)
Trainings, career development, possibility of certifications"
"Werk van thuis","Stow International nv","Projects On-Site Manager","In search of Projects On-Site Manager
The Projects On-Site Manager is responsible for the efficient and effective execution and planning of the daily on-site project scope, according to the stow Group QSHE standards and the stow Group Project Management Methodology. You live in Belgium, the Netherlands, Germany, Poland or France.
What do we expect from you?
Getting familiar with all the available project documentation and assessing the operational, technical and financial feasibility and anticipate if applicable
Getting familiar with the setup of the project planning and all the requirements for mobilization in and out of equipment and human resources.
Having ensured that all engineering and preparatory activities are undertaken and outlining the work methods.
Instructs and follows-up the stow assembly supervisor.
Ensures that all related project information and documentation are properly stored and archived.
Holds each employee accountable for their respective domains in order to maintain a balance between responsibilities and controlling the results.
Follows-up the engineering team member(s) appointed to his/her project to produce/adjust/obtain the technical documents/drawings.
Foresees project risks and project uncertainties and escalates to Project Manager.
Attends on-site daily/weekly meetings as well as site inspections, …with the client or with internal stow departments if needed.
Responsible for following the project-specific safety plan.
(S)he is, as a stow employee, the Ambassador of stow towards all stakeholders.
Monitoring the progress and quality of the project, identifying deviations and correcting (or initiate corrections) where necessary.
Managing subcontractors with regard to the project execution.
Supervises the safe execution of the project on site and observes the QSHE regulations and administration.
Supervises the assembly methods and checks the quality of the delivered materials.
Communicates with Project Manager on planning issues.
Controls equipment certificates / makes sure equipment is remained certified during project. Takes action if applicable.
Controls the necessary specific project related certificates, documents and trainings for the human resources (stow and Subcontractors).
Claim management toward Project Manager- Identifying variations and/or draft delay notifications, with substantiation of costs, based on the existing contract agreements.
Ensuring variations, towards the client as well as the subcontractors, are communicated to the Project Manager.
Budget follow up and daily cost management via regular updates, gathers and controls all available data in order to draft periodical progress reports for ongoing projects and initiates invoicing instructions to the Project Manager.
Responsible for initiating site related purchase orders as agreed with the Project Manager, checking and approving these incoming site related invoices.
Managing and keeping the project information up to date where needed and initiating updates of project info in the applicable ERP systems.
Creates a daily report.
Organizes toolbox talks (with assembly teams, rental companies, third party…).
Responsible for obtaining work permits.
Creates complaints.
Consults SAP to track deliveries and to extract material lists.
What do we offer you?
An attractive salary based in an international environment.
After 3 up to 6 months getting to know your new job and your colleagues at Dottenijs (HQ), you have the possibility to work in the offices at Sint-Truiden or Zele (in agreement with your manager)"
"Leuven","Twipe Mobile Solutions","Junior Project Manager","Delight our customers with top deliveries!

Twipe is a Belgian mediatech company based in Leuven. Our team consists of passionate, motivated and data driven people that strive for excellence every day.

We build innovative cloud technology to help newspapers grow and retain subscribers. Publishers around the world like Le Monde, The Telegraph and DuMont use our SaaS platform. Every day they distribute their digital editions via our platform. Our data and AI platform gives the newsroom and product managers daily insights.

To delight our customers with top deliveries, we are looking for a Junior Project Manager to join our Customer Success Team at Twipe.

What will be your responsibilities?

Be a key member of our project delivery team for on-boarding new customers or enhancing existing installations
Define the product scope, deliverables and goals for each delivery in close collaboration with our customers
 Analyse and document the business specification and objectives, clarify this with the Engineering Team and ensure proactive planning
Coordinate the software releases together with the customer and with the internal Engineering and Product Team
Perform functional acceptance testing to ensure highest levels quality
Monitor post go-live the evolution of the installations, and proactively identify improvements on both the internal and the customer side
Who are you?

You are eager to solve customer problems with platform-based cloud solutions
You have a Growth Mindset, constantly striving to learn and improve
You are highly organized and a good multi-tasker
You are a true team player, but also love to work independently
You are a good listener and have strong communication and presentation skills
You have a strong work ethic, a real “can do” attitude
 What experience do you have?

You have a Master’s degree preferably in Engineering, Computer Science or Economics or an equivalent degree
A first experience in functional or business analysis is a plus
You are fluent in English and proficient in French or German
What do we offer you?

The opportunity to make a difference from day one in a technology scale-up, solving problems of global interest for the media sector
A steep learning curve growing your analytic, project management and relationship management competences
A challenging job in a young & dynamic company at the fore front of innovation in emerging technologies
Team building events like a well-deserved Tomorrowland VIP experience, a team trip to climb Mount Etna or a skiing trip in Austria
Interested in the transformation journey of the publishing industry and eager to be part of a growing business? Join our team!

Send your CV to jobs@twipemobile.com and we will contact you to get started on our journey together!"
"Grobbendonk","Ceva Logistics","Project Manager Logistics","Uren - Full time
Are you an experienced Project Manager who thrives in a dynamic environment? Are you familiar with implementing international customers and do you have the knowledge and drive to support new customers up to and including a stable operation? Then we are looking for you!Functie beschrijving
What are you going to do?
As a Project Manager you will be responsible for guiding and realizing Warehouse projects from start to finish. These projects focus on large customer implementations and range from setting up a complete new site to modifying an existing warehouse operation. As a Project Manager you manage an average of five to ten project members, consisting of colleagues from operations, HR, Finance and IT. In your position you are specifically responsible for:
Composing, managing and leading a multidisciplinary project team in which you monitor the progress and follow-up of all activities and ensure a qualitatively correct execution;
Drawing up the project plan containing all necessary aspects, such as impact analyses, cost price calculations, resource calculations, requirements and preconditions;
Advising the customer about optimalizations in the execution of projects;
Monitoring the budget during the entire project and ensuring a positive P&L result is achieved;
Ensuring a correct and complete transfer to the operation.
Where will you be working?
You will be part of the team of Project Managers Benelux and in this position you will report to the Head of Project Management Benelux. You have bi-weekly meetings with your direct colleagues. In your position as Project Manager you can be deployed across the Benelux. Your formal location is Grobbendonk (Belgium) but depending on the project you work on your location will be further determined. Currently we expect projects mainly in the North of Belgium. As a Project Manager you will usually manage a project team of about 5-10 employees, depending on the size and complexity of the project. You will be in contact with all levels within our organization, you advise and communicate with the operation on site and regional management of the CEVA sites in Belgium and the Netherlands.Eisen
What do we offer?
We offer a lot of space for entrepreneurship, personal development and your ambitions. At CEVA, we have plenty of career opportunities for you to grow.What will you bring?
You like to take on challenges and are able to function within a dynamic and rapidly changing environment. You have a strong drive to complete projects in the best possible way and take full ownership. By nature you are ambitious and look for opportunities and creative solutions. You are also purposeful and able to critically oversee a situation from a distance. Furthermore, you bring with you the following knowledge and experience:
A relevant completed Bachelor or Master degree, in the direction of Logistics, Business Economics, etc;
At least 8 years of experience within logistics or logistic services;
A minimum of 3 years’ experience in leading large projects in the field of warehouse implementations, this is a hard requirement..;
Experience in a position where you were responsible for an operation, such as Operations Manager or Site Manager is an advantage.
Excellent writing and oral expression skills in both Dutch and English.
In addition, knowledge of the French language is an advantage.
About CEVA Logistics
CEVA Logistics is one of the largest logistics service providers in the world. We relieve our customers in the areas of Contract Logistics, Freight and Transport Management. The strength of our company lies in the talent of our people; together we want to improve every day!Curious?
Please apply immediately via the link below (only applications via this link will be taken into consideration). For questions, please contact Linn van Boxtel, Corporate Recruiter, via: +31 6 - 83 01 23 79."
"België","TMC","PROJECT MANAGER CONSTRUCTION","Belgium
For our client within the Heavy Industry, we are currently looking for a Project Manager Construction. You will be working on several new projects, going from completely new (greenfield or brownfield) to modernization of the machinery. You will follow up from construction up to commissioning of one of the projects ahead of us. Depending on the project and your availability the job will take 1 to 2 years.
| Your challenges?
Production Plant Projects delivery experience (ideally onshore production plants, plant expansion);
Shut down experience within a Heavy Production plant;
Experience with Civil, M&E and commissioning areas within a construction site;
Technical construction experience, mechanical construction, sub-contractor management;
Knowledge of Mechanical, Electrical and Civil engineering on a heavy production plant site;
Strong safety planning and implementation knowledge on site;
Brownfield projects experience, site surveys, maintenance and plant expansion projects;
Design and engineering background.| What do we expect from you?
Master degree in Mechanical, Electrical or Civil engineering.
Design and engineering background.
Experience in Construction, Installation and commissioning of large production facilities within the heavy industry.
Language skills: English and Dutch. German is a plus.| What can you expect from TMC?

TMC is an international high-tech consultancy company that brings expertise to its clients in order to support them with the realization of their technological challenges. As such, TMC is operating as an expert center at the disposition of its clients and we help them to be more competitive in an ever more global and faster changing technological world.

At TMC we believe that people are the driving force behind technological innovation. That is why we want to create the best possible conditions for tech talents to thrive in. We offer you a challenging and stimulating work environment in which you can be the director of your own career.
As an Employeneur you are part of our TMC family. Next to our outstanding technical expertise, fun and engagement are meaningful parts of our culture.
| Why choose for Employeneurship?

We are truly unique thanks to our Employeneurship model which is a true innovation for the High Technology consulting business. It is the business relationship of the 21st century for high skilled technical professionals. It is built around 5 main pillars:

You will have a permanent employment contract, offering you stability and security
You will get to know your market value and have a share in the profit your work generates thanks to the individual profit sharing
We will support you with one-on-one coaching and training designed to help you develop your entrepreneurial skills
The competence cells structure provides you with a strong meaningful and relevant network
The entrepreneurial lab: a playground for new ideas and a potential launching for start-ups
TMC is an equal opportunity employer and values diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
Is TMC a perfect fit for you?
Feel Free to Contact
Mie Vandenbergh
Business Manager, Belgium
Tel: (+32) 486 48 31 62"
"Brussel","Solvay","6 to 12 months Internship - Diversity, Equity and Inclusion...","General Information
Location:
City: Brussels
Country: Belgium
Region: EuropeJob Category: Communication
Job Type: Internship
Type of Contract: Fixed-term contract
Working time: Full-time
Work schedule: Day shift
Solvay is a science company whose technologies bring benefits to many aspects of daily life. With more than 24,100 employees in 64 countries, Solvay bonds people, ideas and elements to reinvent progress. The Group seeks to create sustainable shared value for all, notably through its Solvay One Planet plan crafted around three pillars: protecting the climate, preserving resources and fostering better life. The Group’s innovative solutions contribute to safer, cleaner, and more sustainable products found in homes, food and consumer goods, planes, cars, batteries, smart devices, health care applications, water and air purification systems. Founded in 1863, Solvay today ranks among the world’s top three companies for the vast majority of its activities and delivered net sales of €10.2 billion in 2019. Solvay is listed on Euronext Brussels (SOLB) and Paris and in the United States, where its shares (SOLVY) are traded through a Level I ADR program.
The Communications function builds, promotes and protects the image and the reputation of Solvay among all stakeholders, and promotes the initiatives and the culture of the company, both internally and externally.
Job Overview and Responsibilities
Human Dignity is UNIVERSAL - at Solvay it is at the core of everything we do.
Solvay launched a new program called Solvay One Dignity to drive a cultural change around diversity, equity and inclusion with concrete targets to be achieved by 2025. The program will reinforce the company’s commitment to eliminate any form of discrimination and cultivate an inclusive and diverse environment that fosters equal opportunities to employees of all backgrounds, ages, genders, races, nationalities, ethnicities, religions, sexual orientations, identities, and abilities.
The DEI intern will provide an operational support to the DEI Program Manager to coordinate the different DEI initiatives, assuming various roles:
DEI Dashboard coordination
Materialize the vision of the DEI performance management into a dashboard
Coordinate with the technical team to manage the change requests
Performs testing and create user training guide
Create manual dashboard until the automated one is ready
Prepare ad hoc analysis on request or to prepare DEI performance dialogue meetings
DEI internal social Community management (google currents)
Launch and animate a bi monthly meeting to identify topics for communication
Retrieve or create content to share
Follow up with the network of contributors to ensure they create their posts in due time
DEI Initiatives management
Provide support to deliver various initiatives such as: training and mentoring programs, events, inclusion survey, DEI citizen day
Activities may include:
Creating communication material such as tool kits
Managing invitations
Providing technical support for participants
Launching satisfaction surveys
Education and Experience
The mission inspires you and you wish to participate in this project? Do not hesitate to write to us!
We will be looking at motivation rather than education for this internship.
Skills
You are at ease working entirely in English
You are passionate to learn more about how to apply DE&amp;I in a large organization with a global scope
You have a both conceptual and hands on approach, happy to research benchmark and case studies while also delivering on our own initiatives
You are comfortable with working on several topics at the same time and sometimes stretched deadlines
Experience in Communication, Change management, or Project management will be a plus
Additional Information"
"België","REPLY","Project Manager - Financial Services","Project Manager - Financial Services
Tasks
Responsible of the management and structuration of projects.
Definition of the expectations, by interacting with the client, capturing his ideas accurately, and controlling against regulation
Management of expectations and concerns by asking questions to clarify priorities and potential issues
You define the tasks to be executed by third parties, and follow them up
You ensure communication with customers and third parties, for an efficient advancement of projects and the success of our customers.
Checking the alignment of customer specifications and internal specification, negotiate variations with customers,
Organization and leading workshops/meetings to capture core information
You will drive the development of to-be solutions
You are in charge of business processes documentation and IT impacts
Create the main deliverables of a project
Benefits
Development opportunities – we invest in the development and progression of our people to maximise their potential. All of our current partner group have been promoted from within the firm.
Great place to work – we are a non-hierarchical organisation and promote openness, teamwork and knowledge sharing within the firm and wider Group of companies.
Competitive remuneration – we offer a competitive base salary and flexible benefits package. In addition, we offer a range of incentives and bonuses to reward performance and to align individuals’ incentives with those of the firm and our clients.
Qualifications
You have a Master degree in (Applied) Economic Sciences, Business Engineering or any other master completed by a degree in Management or Finance
You have at least 5 years of experience in project management roles,
You have experience in the financial sector,
You have an ease in understanding credit risk/finance/risk management, communication skills and team spirit and an analytical approach to problems.
You have a fluent level of English (read, spoken, written) and of the two national languages.
You master office tools and any other communication tool (such as Word, Excel, Outlook, PowerPoint, MS Project, Teams, Notes, Smartphone Applications, etc.).
Fluent in Dutch, French and English.
About Avantage Reply
There's never been a better time to join Reply. More than 8500 of us are united behind delivering quality services and solutions to our clients in Financial Services, Manufacturing, Retail, Telco & Utilities...
Avantage Reply, Reply's financial services management consultancy, has 14 offices across Europe (Amsterdam, Berlin, Brussels, Frankfurt, Hamburg, Lisbon, London, Luxembourg, Milan, Munich, Paris, Rome, Vienna, and Zurich).
In the context of our growing activities in Brussels, be part of an experienced team working with diverse clients (retail banks, investment banks, custodians, central counterparties, brokers) on risk management, asset and liability management (ALM), and regulatory change.
Years of Experience 5-7"
"Brussel","Honeywell","nieuwProject Manager - Fire Security systems (Dutch or French spe...","Job Description

We have an opportunity for a Project Management – Fire Security role to join our Honeywell HBT Unit in Belgium.The Project Manager is responsible for the management of high security projects and is required to provide support and guidance to the project technicians, the project engineers and sub-contractors.This support will consist of project related Management tasks (administrative tasks, forecasting, planning, risk assessment, change order management, invoicing and payments).Core duties include subcontractor quality management, progress tracking and application for payment management, site engineering coordination and task management, and project planning for assigned activities. Also manages assigned technical work force and customer satisfaction.

Tasks

Key Responsibilities
Project planning including: budgeting, forecasting, and risk identification.
Managing a team of 3.
Direct the Team for assessment of customer site for installation requirements, installation design.
Direct the Team for Control the design, implementation, and documentation of the systems
Ensures on time delivery of projects, within scope with positive deviation.
Monitors the project processes to identify opportunities for improving the project financial results based on project changes and events (schedule, scope, hindrances etc.) and initiates/takes action to obtain these.
Monitors financial performance monthly and reviews estimates versus actuals across their project deck to continuously improve operational metrics.

Requirements
Qualifications:Bachelor’s Degree, preferable in Engineering field.
3+ years’ experience in a similar role as a Project Manager or in leading different technical projects.
Being able to manage various projects simultaneously.
Demonstrated ability to lead a team.
SAP knowledge.
Verbal and written Dutch or French language skills. English is an asset.
Driver’s license.

Benefits
We offer:A culture that fosters inclusion, diversity, and innovation.
Possibility to work on interesting high security projects.
Market specific training and ongoing personal development.
Possibility to work from home 50% of the time.
Career growth opportunities.
Experienced leaders to support your professional development.
International work environment.

If this is your dream role, then we'd love to hear from you! We are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform crucial job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation."
"Charleroi","ALSTOM","Project Change and Configuration Manager","Req ID:191161
We create smart innovations to meet the mobility challenges of today and tomorrow. We design and manufacture a complete range of transportation systems, from high-speed trains to electric buses and driverless trains, as well as infrastructure, signalling and digital mobility solutions. Joining us means joining a truly global community of more than 70000 people dedicated to solving real-world mobility challenges and achieving international projects with sustainable local impact.
POSITION OVERVIEW:
Keep the project configuration under control during the whole life-cycle of the Project.
Manage the Change process in the project and ensure Configuration is formalised and adequate at any time to deliver the configuration and change documentation to the Customer.
ORGANISATIONAL REPORTING
Operational reporting to the CI&DT manager of the plant
KEY NETWORK AND LINKS
All PrXMs, Participating Units, Product ManagersProject Contract ManagerMember of the Project Core Team
MISSION :
Responsibilities
Ensure application of configuration and change general procedures and instructionsIssue configuration and change management plan, with PM and PrEM in order to implement the configuration and change management process in the ProjectSet up, plan and organize the CCB meetings:Collect the Change Requests (CR)Verify that the changes are well documentedSend the CR to the PrEM for analysis and CP (change proposal) preparationCollect the Change Proposals and send it in advance to the participants of the CCB to check the impactsCollect (if needed) QCD impactsEstablish the CCB reportsCoordinate and federate all the project actors regarding configuration and changesorganize and manage the project evolutions through changes activitiesRespond to project priorities or urgenciesEnsure rigorous traceability and reportingRecord, from actors information, the projected rank/date of change application (serial application, retrofit)Organize and update configuration and change database for the projectIssue and monitor the action plan, assigning the Change Orders to the doersIssue and monitor the change application, assigning the Change Notice to the doersManage with PrXMs project baselines:Configuration items identification; baselines management (coherency checking)Ensure interfaces with sub-systems confirm baseline definition. Support PrXMs in the baseline integrationControl configuration (compare realised/applicable)Perform Configuration verificationsIssue configuration & change KPIs
SKILLS & EDUCATION
Project management background level depending on the complexity of the Project/Program,
Good knowledge of railway products and systems,
Knowledge of change & configuration processes (ideally within ALSTOM way of Working)
Ability to communicate with all actors involved to produce efficient CCB preparation
Systematic, rigorous and organized, able to sort out different matters at concurrent time period.
Ability to detect side effects of ongoing changes to alert the relevant person.
Knowledge of following tools is an asset : ClearQuest, Enovia &SAP.
An agile, inclusive and responsible culture is the foundation of our company where diverse people are offered excellent opportunities to grow, learn and advance in their careers. We are committed to encouraging our employees to reach their full potential, while valuing and respecting them as individuals.
Job Type:ExperiencedJob Segment: Project Manager, Database, Change Management, ERP, Manager, Technology, Management"
"Wetteren","PreviewLabs","Looking for a Creative Project Manager","Creative Project Manager (m/f)
PreviewLabs is a company specialized in the development of prototypes for games and other

projects using game development technology. We work for clients all over the world, including for

game developers, game start-ups, and research institutions, who use these prototypes to evaluate,
improve and pitch concepts.

To enable further growth, we are looking for a project manager. Your responsibility would be to

overview the prototyping projects from start to end, including:
Conversations with the client to understand their vision, while actively recommending ideas
and asking the right questions to help shape the client's vision if needed.
Writing out project proposals (PDDs – Prototype Design Documents).Working with our programmers to estimate the projects.Reviewing prototypes as they're under development, ensuring they meet our quality
standards and the client's vision, while keeping an eye on the time frame.Testing the prototypes to make sure the quality level is where it needs to be, and that
everything is in line with the client expectations.Writing out various insights and recommendations gained during the prototyping process.

Requirements
• You're able to empathize with clients in order to understand why they are excited about
their project.You have strong analytical skills, allowing you to build a mental image of the project, and
asking the right questions in order to gain full understanding.You're well organized, and able to manage multiple projects and incoming requests at the
same time, while staying on top of everything.You're strong in written and verbal communication.You have an eye for detail.You have a strong desire to keep improving your skills.Fluency in English, able to write with style.If you look at existing games or software, you're never short of ideas on how they could be
improved.An understanding of the different steps taken during game development projects.You're a gamer and have already played trough a variety of video games.A deep interest in technology.

Pluses
• Multiple years of professional experience in project management.Experience with game testing.Experience with game prototyping.Experience with version control systems such as SVN.Game programming experience.

Practical Information
• The job will take place on-site at our location in Wetteren, Belgium.We offer a long term contract at an attractive salary package.

To apply for this position, you can contact us through our contact form at

http://www.previewlabs.com/contact

PreviewLabs Creative Project Manager March 4, 2016"
"Luxemburg","Michael Page","Junior Project Manager - Manufacturing industry","Join a professional and stimulating working environment.|Be part of an international company
About Our Client
Our client is an international company specialized in manufacturing packaging.

Job DescriptionLead internal improvement projects involving other functions and report on status and
resultsLead customer program roll-out, coordinate support functions and identify loose endsFollow-up of on-going projects with departments involved and redact documentation for project management (action plans, project plans, ...).Execute data management and analysis to support strategic decision makingProvide input and new ideas regarding improvement of organization / processes and way of working focusing on increasing profitability and operational efficiencyDefine drop-down/bottom-up initiatives to fulfill strategical objectives
The Successful ApplicantGraduated with a Master's degree in Project Manager,You have a first experience in project management roles for internal and customer projects implementation, in Manufacturing industry,You are well organized, problem solver, able to work under pressure, and with a good communication skills,Excellent analytical skills, and Excellent knowledge in Excel.
What's on Offer
N/A"
"Brussel•Thuiswerken","Cmed","Project Manager, CRO Services, Belgium","We are currently looking for an enthusiastic and talented global Project Manager to be home-based anywhere in Belgium.

As a Project Manager in CRO Services, you will be responsible for providing expert project leadership for the following: project planning, financial management, risk and issue management, and client management. You will provide PM leadership to the project team from start through finish, ensuring that complex projects are delivered to budget, schedule and client satisfaction. You will work across a varied range of clinical projects and service types.

Please note, this is not a Clinical Operations position, e.g. it is not a Clinical Project Manager /Leader position.
The key areas of responsibility are:
Project planning and delivery management

Project financial management

Team leadership and support

Client management

Risk and Issue management (assessment, issue analysis and resolution and decision management, compliance)
Qualifications and attributes:
Significant experience in Project Management/Leadership roles in the clinical trials industry, mostly in CROs

Substantial, proven financial and client management skills

Strong problem solving, organizational and time management skills. Ability to respond positively and rapidly to change.

Strong analytical skills with the ability to multi-task and attend to detail

Excellent verbal and written communication skills

Team player who quickly creates positive and productive working relationships

Bachelor's degree required or equivalent in training and experience
What we offer:
Opportunity to be part of an innovative organization and work with exciting technologies

Mentorship and training to further develop your skills in the clinical trials industry

The chance to both lead and be part of an effective, dynamic, friendly, and supportive team

Competitive employment package

For more information on Cmed Recruitment and consideration for other opportunities, please review the recruitment statement on our careers page ( https://www.cmedresearch.com/careers/ ).

Please be aware that we do not accept resumes from outside agencies or recruiters unless specifically requested by a Cmed HR or Recruitment Manager. Unsolicited agency or recruiter resumes will not be eligible for referral fees and will be considered candidates Cmed may directly contact for employment application."
